DATE,CPI,unrate,gas
2015-01-01,1.976365,5.7,2.046
2015-02-01,1.972517,5.5,2.152
2015-03-01,1.989606,5.4,2.352
2015-04-01,2.05371,5.4,2.369
2015-05-01,2.056561,5.6,2.578
2015-06-01,2.103732,5.3,2.7
2015-07-01,2.130475,5.2,2.666
2015-08-01,2.169207,5.1,2.522
2015-09-01,2.268536,5.0,2.275
2015-10-01,2.335492,5.0,2.23
2015-11-01,2.394625,5.1,2.088
2015-12-01,2.437497,5.0,1.946
2016-01-01,2.460879,4.8,1.843
2016-02-01,2.538253,4.9,1.681
2016-03-01,2.526214,5.0,1.895
2016-04-01,2.53143,5.1,2.027
2016-05-01,2.565678,4.8,2.199
2016-06-01,2.563629,4.9,2.303
2016-07-01,2.569655,4.8,2.157
2016-08-01,2.716347,4.9,2.119
2016-09-01,2.624799,5.0,2.161
2016-10-01,2.502268,4.9,2.186
2016-11-01,2.518564,4.7,2.105
2016-12-01,2.585286,4.7,2.192
2017-01-01,2.651739,4.7,2.285
2017-02-01,2.664566,4.6,2.227
2017-03-01,2.436586,4.4,2.243
2017-04-01,2.235672,4.4,2.34
2017-05-01,2.139634,4.4,2.303
2017-06-01,2.122109,4.3,2.257
2017-07-01,2.131777,4.3,2.211
2017-08-01,2.075047,4.4,2.297
2017-09-01,2.091354,4.3,2.57
2017-10-01,2.177581,4.2,2.43
2017-11-01,2.099803,4.2,2.474
2017-12-01,2.117186,4.1,2.388
2018-01-01,2.157823,4.0,2.467
2018-02-01,2.123101,4.1,2.488
2018-03-01,2.366926,4.0,2.488
2018-04-01,2.491592,4.0,2.652
2018-05-01,2.543212,3.8,2.808
2018-06-01,2.551897,4.0,2.802
2018-07-01,2.518753,3.8,2.77
2018-08-01,2.432443,3.8,2.768
2018-09-01,2.462881,3.7,2.769
2018-10-01,2.415236,3.8,2.785
2018-11-01,2.476418,3.8,2.561
2018-12-01,2.456173,3.9,2.263
2019-01-01,2.375054,4.0,2.145
2019-02-01,2.375943,3.8,2.223
2019-03-01,2.356946,3.8,2.443
2019-04-01,2.392773,3.7,2.694
2019-05-01,2.360903,3.6,2.731
2019-06-01,2.392597,3.6,2.601
2019-07-01,2.475923,3.7,2.64
2019-08-01,2.630398,3.6,2.521
2019-09-01,2.622934,3.5,2.489
2019-10-01,2.747596,3.6,2.497
2019-11-01,2.772021,3.6,2.48
2019-12-01,2.752609,3.6,2.469
2020-01-01,2.800205,3.6,2.459
2020-02-01,2.792299,3.5,2.348
2020-03-01,2.592275,4.4,2.126
2020-04-01,2.160688,14.8,1.721
2020-05-01,2.000025,13.2,1.769
2020-06-01,1.998261,11.0,1.998
2020-07-01,2.287039,10.2,2.099
2020-08-01,2.22202,8.4,2.093
2020-09-01,1.991587,7.8,2.095
2020-10-01,1.74961,6.9,2.073
2020-11-01,1.707378,6.7,2.015
2020-12-01,1.603908,6.7,2.105
2021-01-01,1.388291876,6.4,2.244
2021-02-01,1.418483272,6.2,2.412
2021-03-01,1.606143425,6.1,2.725
2021-04-01,2.223969877,6.1,2.771
2021-05-01,2.568259586,5.8,2.885
2021-06-01,2.563298288,5.9,2.964
2021-07-01,2.322197731,5.4,3.044
2021-08-01,2.318851441,5.1,3.062
2021-09-01,2.597319102,4.7,3.081
2021-10-01,3.012541263,4.5,3.193
2021-11-01,3.188771392,4.1,3.275
2021-12-01,3.45168647,3.9,3.168
2022-01-01,3.958436369,4.0,3.187
2022-02-01,4.279048254,3.9,3.4
2022-03-01,4.53801172,3.7,4.078
2022-04-01,4.705074108,3.7,3.96
2022-05-01,4.959736415,3.6,4.272
2022-06-01,5.396005585,3.6,4.764
2022-07-01,5.584768451,3.5,4.413
2022-08-01,5.936757527,3.6,3.822
2022-09-01,6.3309531,3.5,3.563
2022-10-01,6.310662886,3.6,3.637
2022-11-01,6.430141331,3.6,3.53
2022-12-01,6.544834898,3.5,3.084
2023-01-01,6.488563553,3.5,3.254
2023-02-01,6.527668526,3.6,3.304
2023-03-01,6.394209,3.5,3.316
2023-04-01,6.265662148,3.4,3.493
2023-05-01,5.978671526,3.6,3.432
2023-06-01,5.579747568,3.6,3.446
2023-07-01,5.394823057,3.5,3.477
2023-08-01,5.160383368,3.7,3.727
2023-09-01,4.94927892,3.7,3.69
2023-10-01,4.882671706,3.9,3.439
2023-11-01,4.696200109,3.7,3.172
2023-12-01,4.563945276,3.8,3.014
2024-01-01,4.605479434,3.7,2.957
2024-02-01,4.407590907,3.9,3.102
2024-03-01,4.513039611,3.9,3.318
2024-04-01,4.413239633,3.9,3.466
2024-05-01,4.31094549,3.9,3.459
2024-06-01,4.240748674,4.1,3.326
2024-07-01,4.182298584,4.2,3.378
2024-08-01,4.1117892,4.2,3.295
2024-09-01,4.011581697,4.1,3.106
2024-10-01,3.975247122,4.1,3.036
2024-11-01,3.890822722,4.2,2.958
2024-12-01,3.752907132,4.1,2.926
2025-01-01,3.624695912,4.0,2.981
